"","k = 2","k = 3","k = 4","k = 5","k = 6","k = 7","k = 8","k = 9","k = 10"
"44",0.993066835556885,0.968252301294741,0.893448245002716,0.56350534436605,0.640398349760002,0.501884555561959,0.607223791576416,0.542201809952238,0.489339881792327
"45",0.744073562212818,0.984176841710901,0.897002785756028,0.736102519480522,0.911922077859805,0.76132164322709,0.610493989558888,0.622296780932733,0.433958824621783
"46",0.990393946278225,0.979774592252777,0.935575471028298,0.774974278741708,0.610774219749648,0.583871710146805,0.524656209858237,0.452900349272045,0.522293584640118
"47",0.749602186044661,0.978013556080427,0.843007123025458,0.915215737276801,0.627653067174216,0.627665326503775,0.547520927322479,0.589489397155892,0.53169281195251
"48",0.993181408789249,0.963548777056001,0.641188830664709,0.850468283246062,0.505246534865424,0.532497352905319,0.451685470985776,0.552856029701001,0.559727128508526
"49",0.958685113110376,0.958850402657219,0.867703359068472,0.582355986975643,0.514876876530003,0.845271631821335,0.536361203905044,0.508050773616177,0.430966869420981
"50",0.769167131267408,0.985089097870121,0.958115501929822,0.86634179951702,0.897687347472958,0.442830305574096,0.609900197605754,0.530398320517351,0.429997198665953
"51",0.990567098618572,0.978762811207615,0.894920692654135,0.909737414914893,0.76419465141502,0.56250016163281,0.405447910440178,0.593425953719697,0.519444068677137
"52",0.742233474591745,0.985257193966162,0.916688833744186,0.770426454636578,0.704705997755584,0.867469824531879,0.524406248727341,0.560553064366589,0.610415431442904
"53",0.986065823113703,0.953369141478444,0.675232910128248,0.724966905928622,0.668222435673431,0.782936135820485,0.559105131348348,0.580642885129088,0.559875081471969
"54",0.742489031462253,0.987934098140518,0.94333867523302,0.617844618075653,0.670247616271275,0.520375082220139,0.727840417061494,0.489796150066711,0.707878904292117
"55",0.989250481780297,0.990400661290536,0.96152178351903,0.720838330331186,0.708480074510558,0.46283577263763,0.733446870848519,0.64759088408942,0.583055043701623
"56",0.768585087688201,0.965602881548643,0.596696469803568,0.74899962864233,0.698122419323816,0.563426739033345,0.484399205444612,0.646089896411934,0.469694592506994
"57",0.967101351448661,0.965667635148628,0.905225258751206,0.946174225304208,0.651728678942201,0.705328546379077,0.511185842611806,0.569018440321432,0.575682118712195
"58",0.740819341850635,0.979448152765434,0.929693746319242,0.625334303627901,0.887022342079021,0.527059786173066,0.55866495664061,0.595735473574623,0.432725383250653
"59",0.964527030655209,0.988177431387322,0.9061135062434,0.824381285513038,0.541602196946966,0.737733298521332,0.459934769551075,0.518990487561952,0.571183001224291
"60",0.960463032386741,0.978970727258774,0.86814189165504,0.813279584185894,0.668492893822439,0.582949175314625,0.539905542740004,0.472667549043034,0.537795360836975
"61",0.996562639773601,0.962342935299564,0.92292813280566,0.814371768231902,0.767196988916708,0.602285994789612,0.487616233263193,0.533488951869575,0.570898584734254
"62",0.728212491370917,0.9931393343417,0.913786239237104,0.664872055272175,0.630633262192083,0.552777889262077,0.667098279920454,0.482819577984684,0.541818194212297
"63",0.973779906548305,0.967870657765094,0.911275560232517,0.611623936510221,0.732486654732591,0.570672204259621,0.710836951350255,0.564746260837049,0.460010235807742
"64",0.95927082950224,0.990369283433038,0.582629222900676,0.705961005819328,0.526926397462776,0.513908269324158,0.518596991586418,0.587513895758544,0.43517559489327
"65",0.750778464991879,0.983880257697175,0.61578047321776,0.517915013922355,0.570863971944337,0.549003428055262,0.482119927163822,0.477264882032163,0.573325807630417
"66",0.736120541583982,0.946047523511953,0.922033105378248,0.676970940287682,0.602866134920134,0.563213908760747,0.510967042514206,0.822040159498876,0.526500006838676
